10 republican candidates 2016	republican	31	10 republican candidates 2016	10 republican candidates 2016	1000	election.party:republican	3	election.party=E0	CandidateList
16 gop candidates	republican	31	16 gop candidates	16 gop candidates	1001	election.party:republican	3	election.party=E0	CandidateList
16 gop candidates for president	republican	31	16 gop candidates for president	16 gop candidates for president	1002	election.party:republican	3	election.party=E0	CandidateList
2015 president candidates		31	2015 president candidates	2015 president candidates	1003		3		CandidateList
2016 announced republican presidential candidates	republican	31	2016 announced republican presidential candidates	2016 announced republican presidential candidates	1004	election.party:republican	3	election.party=E0	CandidateList
2016 candidate comparison		31	2016 candidate comparison	2016 candidate comparison	1005		3		CandidateCompare
2016 candidates views		31	2016 candidates views	2016 candidates views	1006		3		CandidateView
2016 caucus schedule	[election.primary]	31	2016 caucus schedule	2016 caucus schedule	1007	election.primary:caucus	3	election.primary=C0	ElectionSchedule
2016 contenders for president		31	2016 contenders for president	2016 contenders for president	1008		3		CandidateList
2016 declared presidential candidates		31	2016 declared presidential candidates	2016 declared presidential candidates	1009		3		CandidateList
2016 declared republican presidential candidates	republican	31	2016 declared republican presidential candidates	2016 declared republican presidential candidates	1010	election.party:republican	3	election.party=E0	CandidateList
2016 democratic presidential contenders	democratic	31	2016 democratic presidential contenders	2016 democratic presidential contenders	1011	election.party:democratic	3	election.party=E0	CandidateList
2016 election campaign	[election.campaign]	31	2016 election campaign	2016 election campaign	1012	election.campaign:campaign	3	election.campaign=C0	CandidateCampain
2016 election candidates list		31	2016 election candidates list	2016 election candidates list	1013		3		CandidateList
2016 election days		31	2016 election days	2016 election days	1014		3		ElectionSchedule
2016 election schedule		31	2016 election schedule	2016 election schedule	1015		3		ElectionSchedule
2016 gop election	republican	31	2016 gop election	2016 gop election	1016	election.party:republican	3	election.party=E0	CandidateGeneral
2016 libertarian presidential candidates		31	2016 libertarian presidential candidates	2016 libertarian presidential candidates	1017		3		CandidateList
2016 national election		31	2016 national election	2016 national election	1018		3		CandidateGeneral
2016 national elections		31	2016 national elections	2016 national elections	1019		3		ElectionGeneral
2016 possible democratic candidates	democratic	31	2016 possible democratic candidates	2016 possible democratic candidates	1020	election.party:democratic	3	election.party=E0	CandidateList
2016 presential canidates		31	2016 presential canidates	2016 presential canidates	1021		3		CandidateList
2016 presidency candidates		31	2016 presidency candidates	2016 presidency candidates	1022		3		CandidateList
2016 presidentail canidates		31	2016 presidentail canidates	2016 presidentail canidates	1023		3		CandidateGeneral
2016 presidental run	[election.race]	31	2016 presidental run	2016 presidental run	1024	election.race:run	3	election.race=C0	ElectionSchedule
2016 presidential candidate leaders		31	2016 presidential candidate leaders	2016 presidential candidate leaders	1025		3		CandidateList
2016 presidential candidates		31	2016 presidential candidates	2016 presidential candidates	1026		3		CandidateList
2016 presidential candidates and views		31	2016 presidential candidates and views	2016 presidential candidates and views	1027		3		CandidateView
2016 presidential candidates front runners		31	2016 presidential candidates front runners	2016 presidential candidates front runners	1028		3		CandidateList
2016 presidential candidates spectrum		31	2016 presidential candidates spectrum	2016 presidential candidates spectrum	1029		3		CandidateList
2016 presidential candidates survey		31	2016 presidential candidates survey	2016 presidential candidates survey	1030		3		CandidateList
2016 presidential candidates united states	[election.national]	31	2016 presidential candidates united states	2016 presidential candidates united states	1031	election.national:united states	3	election.national=E0	CandidateList
2016 presidential candidates voting records	[election.voting]	31	2016 presidential candidates voting records	2016 presidential candidates voting records	1032	election.voting:voting	3	election.voting=I0	CandidateList
2016 presidential election		31	2016 presidential election	2016 presidential election	1033		3		ElectionGeneral
2016 presidential election articles		31	2016 presidential election articles	2016 presidential election articles	1034		3		ElectionGeneral
2016 presidential race		31	2016 presidential race	2016 presidential race	1035		3		CandidateList
2016 presidential republican candidates	republican	31	2016 presidential republican candidates	2016 presidential republican candidates	1036	election.party:republican	3	election.party=E0	CandidateList
2016 presidential vote		31	2016 presidential vote	2016 presidential vote	1037		3		CandidateGeneral
